14.167,14.167,-1.41,0,35.5,9.5004
14.167,14.167,0,-0.01096,35.5,0
14.167,14.166,0,-0.021041,35.5,0
14.167,14.163,0,-0.030928,35.5,0
13.632,14.16,-1.2869,-0.039877,35.397,10.556
13.502,14.156,-1.2423,-0.049488,35.334,10.615
13.502,14.151,0,-0.058513,35.269,1.367
13.252,14.146,-1.1109,-0.068,35.184,10.187
13.252,14.139,0,-0.076521,35.095,1.9531
13.252,14.131,0,-0.083918,35.007,1.9042
13.252,14.123,0,-0.091448,34.92,1.8533
13.252,14.114,0,-0.097564,34.833,1.8059
13.252,14.104,0,-0.10389,34.747,1.7565
13.252,14.093,0,-0.1104,34.663,1.7053
13.252,14.082,0,-0.11799,34.579,1.6492
13.252,14.071,0,-0.12521,34.497,1.593
13.252,14.058,0,-0.13399,34.415,1.5305
13.252,14.045,0,-0.14388,34.336,1.463
13.252,14.03,0,-0.15362,34.257,1.3947
13.252,14.015,0,-0.16392,34.18,1.3234
13.252,13.999,0,-0.17592,34.105,1.2458
13.252,13.981,0,-0.18832,34.031,1.1659
11.554,13.962,-1.6941,-0.20299,32.796,27.441
11.554,13.942,0,-0.21736,32.556,6.3219
11.554,13.92,0,-0.23278,32.318,6.1511
11.554,13.897,0,-0.24778,32.083,5.9789
10.892,13.872,-1.5333,-0.26337,31.731,27.517
10.892,13.846,0,-0.27874,31.434,8.198
10.892,13.818,0,-0.294,31.14,7.9877
10.892,13.788,0,-0.30924,30.849,7.7736
10.892,13.758,0,-0.32602,30.561,7.5462
10.892,13.725,0,-0.34361,30.276,7.3102
10.892,13.691,0,-0.3625,29.995,7.0627
10.892,13.654,0,-0.38232,29.717,6.8062
10.892,13.616,0,-0.40338,29.442,6.5391
10.892,13.576,0,-0.42496,29.172,6.266
10.892,13.533,0,-0.44719,28.906,5.9865
10.892,13.489,0,-0.46919,28.644,5.7059
10.892,13.442,0,-0.49223,28.387,5.4182
8.7977,13.392,-1.5727,-0.51689,26.791,36.455
8.6354,13.341,-1.6574,-0.54232,26.334,38.735
8.4763,13.286,-1.6707,-0.56859,25.865,39.449
8.4763,13.23,0,-0.59801,25.387,13.955
8.4763,13.17,0,-0.62901,24.914,13.439
8.4763,13.107,0,-0.66019,24.448,12.916
7.8249,13.041,-1.4809,-0.69138,23.837,36.786
7.674,12.972,-1.5194,-0.72442,23.311,37.742
7.674,12.899,0,-0.76003,22.785,14.962
7.674,12.823,0,-0.79649,22.266,14.32
7.674,12.744,0,-0.83374,21.755,13.666
7.674,12.66,0,-0.87362,21.252,12.988
7.674,12.573,0,-0.91182,20.758,12.317
7.674,12.482,0,-0.94767,20.272,11.661
7.674,12.387,0,-0.98411,19.796,11
7.674,12.289,0,-1.0188,19.33,10.352
7.674,12.187,0,-1.0527,18.874,9.7119
7.674,12.081,0,-1.0912,18.428,9.0482
7.674,11.972,0,-1.1279,17.992,8.403
7.674,11.859,0,-1.169,17.568,7.7429
7.674,11.743,0,-1.2159,17.156,7.0655
7.674,11.621,0,-1.2652,16.755,6.3958
7.674,11.494,0,-1.3217,16.366,5.7179
7.674,11.362,0,-1.3857,15.991,5.0452
7.674,11.224,0,-1.4541,15.629,4.4045
7.674,11.078,0,-1.5289,15.281,3.8086
7.674,10.925,0,-1.5999,14.949,3.3041
